sequence,name,area,camera_type,device_name,host,sdk_port
138,1#变电所热成像枪机01（热成像画面）,赛迪电气/厂房/功能房,枪机,1#变电所热成像枪机01,10.10.1.24,8000
294,B轴枪机10,赛迪电气/厂房/B轴,枪机,B轴枪机10,10.10.0.80,8000
278,A轴枪机05,赛迪电气/厂房/A轴,枪机,A轴枪机05,10.10.0.76,8000
77,厂房西面立杆监控04,赛迪电气/园区,枪机,厂房西面立杆监控04,10.10.1.58,8000
211,厂房西面立杆监控05,赛迪电气/园区,枪机,厂房西面立杆监控05,10.10.1.59,8000
154,B轴枪机05,赛迪电气/厂房/B轴,枪机,B轴枪机05,10.10.1.32,8000
57,B轴枪机06,赛迪电气/厂房/B轴,枪机,B轴枪机06,10.10.1.34,8000
65,C轴枪机05,赛迪电气/厂房/C轴,枪机,C轴枪机05,10.10.1.28,8000
184,C轴枪机06,赛迪电气/厂房/C轴,枪机,C轴枪机06,10.10.1.29,8000
135,C轴枪机07,赛迪电气/厂房/C轴,枪机,C轴枪机07,10.10.1.30,8000
180,C轴枪机08,赛迪电气/厂房/C轴,枪机,C轴枪机08,10.10.1.31,8000
209,C轴枪机09,赛迪电气/厂房/C轴,枪机,C轴枪机09,10.10.1.38,8000
88,A轴枪机03,赛迪电气/厂房/A轴,枪机,A轴枪机03,10.10.1.33,8000
196,B轴枪机08,赛迪电气/厂房/B轴,枪机,A轴枪机04,10.10.1.35,8000
55,C轴枪机10,赛迪电气/厂房/C轴,枪机,C轴枪机10,10.10.1.36,8000
183,C轴枪机11,赛迪电气/厂房/C轴,枪机,C轴枪机11,10.10.1.37,8000
72,C轴枪机12,赛迪电气/厂房/C轴,枪机,C轴枪机12,10.10.1.39,8000
320,B轴枪机07,赛迪电气/厂房/B轴,枪机,B轴枪机07,10.10.0.53,8000
307,A轴枪机06,赛迪电气/厂房/A轴,枪机,A轴枪机06,10.10.0.77,8000
347,B轴枪机11,赛迪电气/厂房/B轴,枪机,B轴枪机11,10.10.0.79,8000
338,B轴枪机12,赛迪电气/厂房/B轴,枪机,B轴枪机12,10.10.0.81,8000
316,A轴枪机07,赛迪电气/厂房/A轴,枪机,A轴枪机07,10.10.0.78,8000
257,C轴枪机15,赛迪电气/厂房/C轴,枪机,C轴枪机15,10.10.1.44,8000
139,C轴枪机14,赛迪电气/厂房/C轴,枪机,C轴枪机14,10.10.1.43,8000
330,C轴枪机16,赛迪电气/厂房/C轴,枪机,C轴枪机16,10.10.0.55,8000
234,C轴枪机13,赛迪电气/厂房/C轴,枪机,C轴枪机13,10.10.0.54,8000
336,C轴枪机19,赛迪电气/厂房/C轴,枪机,C轴枪机19,10.10.0.59,8000
218,B轴枪机14,赛迪电气/厂房/B轴,枪机,B轴枪机14,10.10.1.64,8000
240,C轴枪机17,赛迪电气/厂房/C轴,枪机,C轴枪机17,10.10.1.51,8000
263,B、C轴之间南面枪机,赛迪电气/厂房/B轴,枪机,B、C轴之间南面枪机,10.10.1.66,8000
290,D轴枪机01,赛迪电气/厂房/D轴,枪机,D轴枪机01,10.10.0.70,8000
296,D轴枪机03,赛迪电气/厂房/D轴,枪机,D轴枪机03,10.10.0.69,8000
328,PCBA生产车间01,赛迪电气/厂房/功能房,枪机,PCBA生产车间01,10.10.0.65,8000
342,PCBA车间枪机02,赛迪电气/厂房/功能房,枪机,PCBA车间枪机02,10.10.0.66,8000
283,PCBA生产区南面枪机,赛迪电气/厂房/功能房,枪机,PCBA生产区南面枪机,10.10.0.63,8000
272,D轴枪机02,赛迪电气/厂房/D轴,枪机,D轴枪机02,10.10.0.71,8000
271,D轴枪机04,赛迪电气/厂房/D轴,枪机,D轴枪机04,10.10.0.72,8000
334,E、F轴之间枪机02,赛迪电气/厂房/E轴,枪机,E、F轴之间枪机02,10.10.0.62,8000
331,E轴枪机01,赛迪电气/厂房/E轴,枪机,E轴枪机01,10.10.0.67,8000
305,线束生产区01,赛迪电气/厂房/功能房,枪机,线束生产区01,10.10.0.64,8000
333,E、F轴之间枪机03,赛迪电气/厂房/E轴,枪机,E、F轴之间枪机03,10.10.0.68,8000
89,E轴枪机02,赛迪电气/厂房/E轴,枪机,E轴枪机02,10.10.1.129,8000
167,E轴枪机03,赛迪电气/厂房/E轴,枪机,E轴枪机03,10.10.1.130,8000
85,E轴枪机04,赛迪电气/厂房/E轴,枪机,E轴枪机04,10.10.1.131,8000
142,F轴枪机01,赛迪电气/厂房/F轴,枪机,F轴枪机01,10.10.1.133,8000
163,F轴枪机02,赛迪电气/厂房/F轴,枪机,F轴枪机02,10.10.1.134,8000
64,F轴枪机03,赛迪电气/厂房/F轴,枪机,F轴枪机03,10.10.1.135,8000
195,F轴枪机04,赛迪电气/厂房/F轴,枪机,F轴枪机04,10.10.1.136,8000
69,E、F轴之间枪机01,赛迪电气/厂房/E轴,枪机,E、F轴之间枪机01,10.10.1.132,8000
164,D轴枪机06,赛迪电气/厂房/D轴,枪机,D轴枪机06,10.10.1.138,8000
62,D轴枪机07,赛迪电气/厂房/D轴,枪机,D轴枪机07,10.10.1.139,8000
166,D轴枪机08,赛迪电气/厂房/D轴,枪机,D轴枪机08,10.10.1.140,8000
96,D轴枪机09,赛迪电气/厂房/D轴,枪机,D轴枪机09,10.10.1.141,8000
70,D轴枪机10,赛迪电气/厂房/D轴,枪机,D轴枪机10,10.10.1.142,8000
149,D轴枪机11,赛迪电气/厂房/D轴,枪机,D轴枪机11,10.10.1.143,8000
194,E轴枪机05,赛迪电气/厂房/E轴,枪机,E轴枪机05,10.10.1.144,8000
168,E轴枪机06,赛迪电气/厂房/E轴,枪机,E轴枪机06,10.10.1.145,8000
141,E轴枪机07,赛迪电气/厂房/E轴,枪机,E轴枪机07,10.10.1.146,8000
80,E轴枪机08,赛迪电气/厂房/E轴,枪机,E轴枪机08,10.10.1.147,8000
181,E轴枪机09,赛迪电气/厂房/E轴,枪机,E轴枪机09,10.10.1.148,8000
134,E轴枪机10,赛迪电气/厂房/E轴,枪机,E轴枪机05,10.10.1.149,8000
99,E轴枪机11,赛迪电气/厂房/E轴,枪机,E轴枪机11,10.10.1.150,8000
158,F轴枪机05,赛迪电气/厂房/F轴,枪机,F轴枪机05,10.10.1.151,8000
103,F轴枪机06,赛迪电气/厂房/F轴,枪机,F轴枪机06,10.10.1.152,8000
130,F轴枪机07,赛迪电气/厂房/F轴,枪机,F轴枪机07,10.10.1.153,8000
87,F轴枪机08,赛迪电气/厂房/F轴,枪机,F轴枪机08,10.10.1.154,8000
155,F轴枪机09,赛迪电气/厂房/F轴,枪机,F轴枪机09,10.10.1.155,8000
264,F轴枪机10,赛迪电气/厂房/F轴,枪机,F轴枪机10,10.10.1.156,8000
136,F轴枪机11,赛迪电气/厂房/F轴,枪机,F轴枪机11,10.10.1.157,8000
63,F轴枪机12,赛迪电气/厂房/F轴,枪机,F轴枪机12,10.10.1.158,8000
